city,1995,1996,1997,1998,1999,2000,spi,spi_p
Boituva,90000,90000,80000,90000,90000,70000,-2.44860589921579,-0.937071411855206
Bom Jesus dos Perdões,40000,40000,0,0,0,0,-1.9790996510859,-0.756417988261444
Bom Sucesso de Itararé,0,0,0,0,0,0,-1.21481731665797,-0.475023075120139
Borá,0,66000,60000,60000,70000,89965,-2.15926485643337,-0.63669565096216
Boracéia,90000,90000,90000,90000,90000,90000,-1.32548245731475,-0.018720606268238
Borborema,80000,80000,80000,80000,80000,80000,-1.03946428218542,-0.105979637329794
Borebi,70000,70000,80000,74610,70000,70000,-1.6845054768147,-1.05508126584085
Botucatu,65000,65000,65000,65000,77000,70000,-2.36720879217729,-0.841573378047833
Bragança Paulista,50000,50000,50000,50000,50000,0,-1.540004470018,-0.156133623356345
Braúna,74000,70000,70000,70000,70000,70000,-1.76332142603735,-0.173489490246562
Brejo Alegre,0,0,0,85000,0,0,-1.32149135756568,-0.301208974549857
Brodowski,65000,65000,90000,64995,65000,65000,-1.40716348760667,-1.71487959650593
Brotas,80000,100000,100000,88235,81000,82000,-1.38499819585005,-0.126581991587353
Buri,0,0,0,0,0,0,-2.39054050864793,-1.06804047487553
Buritama,85000,85000,80000,84990,84995,80000,-1.32149135756568,-0.301208974549857
Buritizal,85000,85000,90000,85000,85000,75000,-0.277962337034479,-1.41299278537295
Cabrália Paulista,0,0,0,0,0,70000,-1.69745333143704,-0.725538423477055
Cabreúva,60000,60000,60000,60000,60000,70000,-2.1684208198396,-1.2481644675828
Caçapava,59300,59300,59300,59300,30000,60000,-2.05355991351672,-0.830196858135086
Cachoeira Paulista,0,0,0,0,0,0,-0.295728291808956,-0.954166501666562
Caconde,80000,0,80000,80000,80000,90000,-1.17732248638374,-1.16343230612749
Cafelândia,80000,85106,103000,85000,80000,80000,-1.11283220290378,-0.337589237283244
Caiabu,70000,76206,87900,85000,56615,75004,-1.79099082315561,-1.48418689803681
Caieiras,0,0,0,0,0,0,-2.16095909820955,-1.52271523108589
Caiuá,66817,71999,48010,82565,50000,70000,-2.7029878920819,-0.711359854619741
Cajamar,0,0,0,0,0,0,-2.26480238221252,-1.39351154358547
Cajati,0,0,0,0,0,0,-2.30767442173757,-0.115907867510908
Cajobi,85000,85000,85000,60828,61818,85000,-1.30611725818446,-1.25379724909345
Cajuru,72727,87950,70000,70000,70000,70000,-1.44586063056232,-1.10650167202701
Campina do Monte Alegre,0,0,0,0,0,0,-2.72557106276229,-1.05503120717928
Campinas,0,75000,80000,57839,57839,75000,-1.71231344801711,-0.693023510455134
Campo Limpo Paulista,0,0,0,0,0,0,-2.2135781203654,-1.50051268459204
Campos do Jordão,0,0,0,0,0,0,-1.21012535045651,-1.3264948316979
Campos Novos Paulista,75000,70000,75000,75000,75000,65000,-1.67451528809749,-0.389216851523499
Cananéia,0,0,0,0,0,0,-2.55336703494548,-0.351227957577529
Canas,0,0,0,0,0,0,-0.295728291808956,-0.954166501666562
Cândido Mota,73666,80000,80000,80000,80000,80000,-1.95016370714966,-0.271250957330111
Cândido Rodrigues,75000,80000,90000,90000,90000,90000,-1.69858347284603,-1.68159221504732
Canitar,80000,114285,110000,66390,66300,100000,-1.84137184304603,-0.74010747825025
Capão Bonito,0,0,0,0,0,0,-2.6871014960809,-0.977726454117646
Capela do Alto,90000,90000,80000,90000,90000,80000,-2.44860589921579,-0.937071411855206
Capivari,83870,68230,70000,74995,75001,84003,-1.17487831183528,-0.005383253366192
Caraguatatuba,34722,0,60000,0,0,0,-1.19633189135029,-0.872256595133469
Carapicuíba,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Cardoso,0,0,0,0,0,0,-1.06731124717133,-1.34316434045085
Casa Branca,80000,80000,80000,80000,80000,75000,-0.75811563720326,-0.260755967922098
Cássia dos Coqueiros,0,75000,75000,75000,75000,70000,-1.17806007329419,-2.02455047029145
Castilho,0,100000,100000,99315,110000,80000,-1.79559292304355,-1.08692397008504
Catanduva,75000,66249,90000,65182,65333,70000,-1.24870893711348,-0.972505889081635
Catiguá,70000,79000,79000,67666,64838,80000,-1.13934587802723,-0.975977502443483
Cedral,80000,80000,80000,80000,80000,80000,-1.42397867134988,-1.59313400056059
Cerqueira César,75000,110000,100000,100000,100000,90000,-2.60282982921045,-1.00495177584348
Cerquilho,80000,80000,80000,90000,80000,80000,-1.57383208810619,-1.17110072134201
Cesário Lange,95000,90000,80000,90000,90000,150000,-1.57383208810619,-1.17110072134201
Charqueada,70000,70000,70000,70000,70000,70000,-1.43247229548944,0.034686639103997
Chavantes,80000,80000,80000,70243,61639,150000,-2.17738071615979,-1.0409633057291
Clementina,70026,70000,70000,70000,70000,70000,-1.76332142603735,-0.173489490246562
Colina,80000,80000,90000,90000,90000,90000,-2.00586936979415,-1.8776184621283
Colômbia,0,0,90000,53000,108000,64000,-2.44284775180225,-2.71577345414829
Conchal,80000,80555,78500,81000,80000,80000,-1.39846348249622,0.2208515353069
Conchas,60000,0,60000,60000,69975,60000,-2.2457868287039,-0.763718434394858
Cordeirópolis,80000,80000,60000,60000,60000,60000,-1.35419073545379,0.045689243614103
Coroados,80000,80000,80000,80000,80000,60000,-1.6764193808014,-0.542592564983864
Coronel Macedo,0,0,0,0,0,0,-2.3496893199493,-1.63005018391326
Corumbataí,73149,100000,68499,61300,75815,80000,-1.45399504172642,-0.042917892170583
Cosmópolis,0,88235,80000,79924,79924,75000,-1.38879916689588,-0.090152974814532
Cosmorama,0,70000,70000,70000,70000,0,-1.5120927425208,-1.99131507296053
Cotia,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Cravinhos,75000,75000,71102,75000,75000,75000,-1.34682059091984,-1.35019735908501
Cristais Paulista,0,0,0,0,0,0,-0.294717066081851,-2.12798155670236
Cruzália,0,0,0,0,0,0,-1.70196712474077,-0.104758684988927
Cruzeiro,40000,0,40000,0,40000,40000,-0.707387177888841,-0.386629495376957
Cubatão,0,0,0,0,0,0,-2.02701400759864,-0.34859744031686
Cunha,0,0,0,0,0,0,-2.0037450365802,-1.51323725598463
Descalvado,65000,65000,65000,65000,65000,65000,-0.643648940034629,-0.182596858171963
Dirce Reis,75000,75000,0,0,0,0,-1.91440491399714,-1.57312507980723
Divinolândia,0,0,0,0,0,0,-1.17732248638374,-1.16343230612749
Dobrada,90000,80000,80000,80000,80000,70000,-1.54681108111568,-0.403359655034317
Dois Córregos,83750,80000,80000,80000,80000,75000,-1.08099408812412,-0.037764291093053
Dolcinópolis,0,0,0,0,0,0,-1.8963313909912,-1.79663047432403
Dourado,75000,80000,75000,75000,75000,80000,-0.854393622031254,0.252010758932304
Dracena,110000,120000,82000,70000,70000,0,-2.44138721734244,-0.757191722738656
Duartina,0,0,0,70000,70000,0,-1.69745333143704,-0.725538423477055
Dumont,80000,80000,92021,80000,80000,80000,-0.645160831963743,-0.876765782132566
Echaporã,56000,60000,60000,60000,50000,74000,-2.16254712862218,-0.988847550172031
Eldorado,0,0,0,0,0,70000,-2.22084489209478,-0.271376177605313
Elias Fausto,70000,70000,100000,100000,100000,95000,-2.11201192443964,-1.03214888958541
Elisiário,75000,70000,80000,57866,67307,65757,-1.13934587802723,-0.975977502443483
Embaúba,80000,85000,74000,59903,57131,78200,-1.30611725818446,-1.25379724909345
Embu das Artes,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Embu-Guaçu,0,0,0,0,0,0,-2.09156451956087,-0.257991968261765
Emilianópolis,0,0,0,0,0,0,-1.44104054885575,-0.87101229918844
Engenheiro Coelho,75000,75000,75000,75000,75000,70000,-1.39846348249622,0.2208515353069
Espírito Santo do Pinhal,85000,85000,80000,90000,85135,60000,-1.09161466716993,-0.361702566965028
Espírito Santo do Turvo,60000,60000,65000,60000,60000,47000,-1.63011491976277,-1.32565146436456
Estiva Gerbi,80000,0,80000,80000,80000,81111,-1.09161466716993,-0.361702566965028
Estrela d'Oeste,80000,80000,80000,79111,80000,80000,-1.11582784045047,-1.06717593712505
Estrela do Norte,0,80000,0,0,0,0,-1.87567468938473,-0.454751028818773
Euclides da Cunha Paulista,70000,70000,70000,65000,45000,50000,-2.46197798809189,-1.11877439619133
Fartura,65000,65000,65000,65000,65000,0,-2.8349041463335,-1.7832123988306
Fernando Prestes,73333,80000,100000,100000,100000,100000,-1.69858347284603,-1.68159221504732
Fernandópolis,80000,84782,84782,80000,91657,83988,-1.11582784045047,-1.06717593712505
Fernão,0,0,0,0,0,0,-1.91825458750473,-0.263392306929877
Ferraz de Vasconcelos,0,0,0,0,0,0,-2.02449096426638,-1.03428314818147
Flora Rica,0,0,0,0,0,0,-1.88547047666239,-1.09860679965619
Floreal,0,0,0,0,0,0,-0.857916982268148,-0.816575661997176
Flórida Paulista,65000,60000,70000,71899,77000,70000,-2.04663244000954,-1.58116915965505
Florínea,70833,100000,100000,100000,100000,90000,-2.09651702048629,-0.307898927624454
Franca,0,83333,70000,80000,80000,70000,-0.8096194736318,-2.09383637078325
Francisco Morato,0,0,0,0,0,0,-2.16095909820955,-1.52271523108589
Franco da Rocha,0,0,0,0,0,0,-2.16095909820955,-1.52271523108589
Gabriel Monteiro,0,80000,80000,80000,70000,70000,-1.56845212260178,-0.104666464552476
Gália,0,0,0,0,0,0,-1.91825458750473,-0.263392306929877
Garça,0,0,0,0,0,0,-1.74464825974156,-0.460399765857603
Gastão Vidigal,60000,60000,60000,55000,75000,66000,-1.05893882558011,-0.356273998711909
Gavião Peixoto,0,0,0,55858,80000,70000,-1.20271870749621,-0.014448140491813
General Salgado,85000,85000,91246,98020,98019,98000,-1.51279112386115,-0.650360017061034
Getulina,78000,79729,74400,85000,80000,80000,-1.66649936527294,-0.679430857458879
Glicério,73000,75000,70000,70000,72500,75000,-1.4669883278728,0.052944479396929
Guaiçara,78000,79000,89219,85000,70000,70000,-1.03381020596609,-0.266498330839607
Guaimbê,78000,79000,64250,85000,80000,0,-1.66649936527294,-0.679430857458879
Guaíra,71917,100000,100000,100000,100000,90000,-2.30629408754138,-2.42818475255495
Guapiaçu,73000,73000,73000,73000,75000,80000,-1.8019061232645,-2.28594565012423
Guapiara,0,0,0,0,0,0,-1.61813631746523,-0.389527467444049
Guará,80000,80000,80000,80000,80000,68000,-0.806494543820959,-1.24538794060095
Guaraçaí,80000,80000,80000,80000,79969,80000,-2.14288416300443,-1.61400100560782
Guaraci,85000,90000,85000,85000,85000,75000,-2.08902257039101,-2.6355838137457
